mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,contrast_7,zcr,rms,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,speaker,session
-311.68677,152.63867,-11.791598,27.886003,-3.7365136,-0.16648751,1.216652,17.54175,-6.1029844,5.455523,3.1162422,9.303363,9.783614,0.58327454,0.4219136,0.36450872,0.35854194,0.55001074,0.53749245,0.46698895,0.34710738,0.35841596,0.5045485,0.51554996,0.47574088,20.388403173607205,12.314070919960384,16.727891406851047,17.971295544615362,16.20453449492566,17.87966843271577,19.58779242530337,0.040715997869318184,0.0318024,-3.7139955,0.684395,0.11652145,-0.004121962,-0.48429716,-0.070227556,0.21780606,0.22556166,1.0819118,0.22354966,0.37257135,-0.20140041,-0.1574937,Drake,04
-343.3646,154.09686,-21.623835,44.361084,6.737621,12.6607485,-0.34375387,15.912204,-2.1354578,12.704691,-0.40319708,4.963001,5.886886,0.6427028,0.47674972,0.4718745,0.5056579,0.47474834,0.49542987,0.52737975,0.5299764,0.636084,0.7108581,0.67746377,0.6565103,21.19841823922958,11.078004585399515,15.134613411649063,16.38908901083989,16.096699195887126,18.521895683601524,19.72816335516254,0.037175958806818184,0.024682473,1.2995163,-1.0050403,-1.971958,0.676227,0.9625401,1.0090346,-0.30147618,-0.9229858,0.17795515,1.232676,-0.7706171,-0.34733406,0.3635031,Drake,04
-273.22635,122.1258,-22.966593,47.735935,22.00475,16.922117,-5.5388713,14.535373,-11.911749,14.498257,-9.012389,-0.8751657,0.8327434,0.5272067,0.4059496,0.39707556,0.40594232,0.342275,0.3934926,0.56981766,0.6324592,0.63249445,0.5982249,0.6203825,0.5572783,22.327713584384142,13.136713920160846,17.311413025938087,16.120387971418698,17.683667253487723,20.4417584920237,24.590230987653413,0.08111017400568182,0.034381796,4.0681276,-0.1808623,0.23627259,-0.2425619,-0.06729932,-0.45210227,-0.46725118,1.1599685,-1.0505036,-0.19591083,-0.41332236,-0.07466545,-0.23298348,Drake,04
-252.0266,128.33327,-12.8314,40.799076,8.40742,0.8150501,-7.283351,19.449007,-16.288036,14.793338,-6.840155,5.4740734,-1.3082684,0.3265642,0.39232424,0.36855593,0.25031617,0.3170725,0.40026683,0.40363595,0.48215494,0.45555317,0.52320886,0.45428914,0.40757707,20.747057727755177,13.23504256074405,17.701264989806525,17.165276169398865,17.45585606629225,20.018404889838507,24.958790300766534,0.08055530894886363,0.03731626,-2.6750703,2.6375043,0.1626938,-0.46479338,-0.47427055,-1.1438261,0.51138324,0.28009805,-0.023072224,-0.7829184,0.7237885,0.2249443,0.23218068,Drake,04
-337.9307,163.01173,-14.2408085,34.608715,-3.3113327,-5.5510483,3.5364664,18.181494,-4.73625,12.989599,2.7235096,10.667873,3.3839445,0.52833694,0.5637151,0.5270954,0.43102854,0.53191406,0.61241317,0.51023,0.48713148,0.48862183,0.5975881,0.54943585,0.60200447,20.59732174295573,11.260754923886777,14.92064626216113,17.11691906266397,16.07449240652748,19.722015637880038,18.57068834512743,0.03614390980113636,0.025404407,-3.4446099,0.12501222,-0.48976943,-0.85877985,-0.14118952,1.1408987,0.74042565,-0.25283626,0.7926069,-0.18195666,-0.012109247,-0.04010955,0.28496358,Drake,04
-273.15393,116.401665,-14.1225395,50.23352,7.875198,18.32556,0.55467033,19.352125,-16.124235,4.3760433,-9.562724,5.795209,-2.3545113,0.48008063,0.4268075,0.3952366,0.35635218,0.36903417,0.4642991,0.47343636,0.40339366,0.39349946,0.51068443,0.71063274,0.6929371,20.853304858168283,14.59395439318813,18.41106808266173,15.371454066482396,17.560045809247125,18.851340606365373,24.188565859225392,0.08704723011363637,0.033701554,4.981783,-1.708123,-0.5215392,1.0165571,0.6918053,-0.16859871,-0.8719916,-0.11853386,-0.17662321,0.44235936,-0.50147593,-0.5549818,-0.015601635,Drake,04
-227.43895,128.1928,-31.447304,49.269924,18.146172,12.865491,-8.276801,17.160532,-24.515741,14.826534,-16.655619,-4.369388,1.8208622,0.497838,0.3668685,0.2253657,0.1439355,0.1435863,0.24653,0.29530138,0.2838844,0.28678468,0.44875708,0.68102765,0.587805,21.414565364172308,17.217223339190493,19.897064420208565,16.722922188329616,19.406055508930667,22.366473797120467,26.324644746377263,0.09207430752840909,0.050999407,-1.1193429,1.9806789,-2.5950541,1.0128279,2.5940468,-0.61709917,-0.7467051,-0.44847205,-0.39199117,0.83392125,0.1111485,-1.1039633,0.34652615,Drake,04
-229.83536,146.74062,-43.61469,44.391365,19.174517,8.721803,-2.5392127,16.896095,-28.460732,15.459481,-10.489693,-5.7039895,6.3911037,0.47446,0.52762365,0.37834212,0.26411644,0.20357448,0.2819839,0.30441847,0.43792737,0.4623643,0.45000267,0.48359534,0.41448623,22.59723143381428,15.78366710254579,18.93975327712302,17.354773350679775,18.9630212838254,23.711008077917903,24.70832940512902,0.0830078125,0.051727355,0.940305,-1.899104,0.1482847,-0.046917733,-0.95778584,1.3369625,0.34325647,-0.13705982,-0.031561527,-0.3387628,0.6320985,0.92273027,-0.19535619,Drake,04
-264.43103,152.65814,-35.76804,55.866467,14.449566,5.2742457,-2.0564933,19.717722,-19.436672,9.372284,-6.852364,0.4326462,5.0900564,0.37531102,0.44342002,0.54068476,0.46865433,0.30778614,0.4407982,0.47090757,0.4691798,0.47647324,0.43067485,0.3047465,0.30857113,21.56010233437286,15.275735956290287,17.423297311285804,16.04452576189448,18.630009890334176,22.08084090077404,22.60969674380135,0.08205344460227272,0.038848463,-3.4341147,0.5089576,1.2234855,0.5843046,-0.10109344,-0.17488708,-0.29737157,-0.23487884,1.1987638,-0.6784173,-0.05649444,0.10372684,0.0692937,Drake,04
-305.34003,151.89787,-27.634863,59.499794,13.962003,5.548374,-6.3297467,16.028648,-11.431365,10.843969,-8.33615,2.4541533,7.329059,0.4358093,0.37247297,0.45676926,0.38777983,0.38450906,0.49930528,0.4195752,0.37847263,0.4717604,0.5105908,0.44986594,0.44146577,21.39350541173855,13.491497984650819,16.773167444403455,15.739476678257297,18.02385323748553,20.671365109701004,20.954204974916937,0.062322443181818184,0.028049368,-3.9635355,2.1344159,0.3335537,-0.98610425,0.16197737,0.3565542,0.430332,-0.10105365,0.5212888,0.11044691,-0.09761004,0.09264441,0.05076426,Drake,04
